@relation train
@attribute Class integer
@attribute C2 real
@attribute C3 real
@attribute C4 real
@attribute C5 real
@attribute C6 real
@attribute C7 real
@attribute C8 real
@attribute C9 real
@attribute C10 real
@attribute C11 real
@attribute C12 real
@attribute C13 real
@attribute C14 real
@attribute C18 real
@attribute C19 real
@attribute C20 real
@attribute C23 real
@attribute C24 real
@attribute C25 real
@attribute C26 real
@attribute C31 real
@attribute C32 real
@data
0,1.0,0.0,2.0,3.0,-1.4430042770232128,0.0,-0.937243867920828,0.0,1.0,0.0,1.0,-0.3101339468961041,2.0,1.0,1.0,-1.1394873653653803,0.0,0.0,3.0,0.17034333706063395,0.0,1.0
0,0.0,3.0,2.0,2.0,-0.7723160842295177,4.0,0.044501338278132255,1.0,3.0,0.0,1.0,-0.5588300021759454,2.0,1.0,4.0,0.07663501339150561,1.0,0.0,4.0,-0.23455778934850388,0.0,2.0
0,1.0,2.0,1.0,3.0,-0.8561521083287296,2.0,-0.5874225775061163,2.0,1.0,0.0,0.0,0.040486721203344345,2.0,1.0,2.0,0.4240985501791873,0.0,0.0,0.0,-1.2067723764756475,0.0,2.0
0,0.0,3.0,1.0,3.0,-0.4369719878326701,4.0,-0.4537396169765223,3.0,2.0,0.0,1.0,-0.6087730624575529,2.0,1.0,4.0,-0.09709675500233524,1.0,0.0,4.0,-0.19053235093621868,0.0,2.0
0,0.0,0.0,2.0,2.0,-0.7723160842295177,3.0,-1.0046116590538516,2.0,2.0,0.0,1.0,0.5827256614036541,2.0,0.0,2.0,0.5109644343761077,0.0,1.0,4.0,2.263229612315744,0.0,1.0
0,0.0,0.0,3.0,0.0,-0.9399881324279414,0.0,-0.7488245770956523,3.0,1.0,0.0,1.0,-0.47321332740747546,2.0,3.0,2.0,-0.9657555969715395,1.0,1.0,4.0,-0.8001102325300183,0.0,2.0
0,0.0,3.0,2.0,0.0,-0.017791867336610624,0.0,-0.5860190818575116,3.0,2.0,0.0,1.0,-0.12055416705163488,2.0,3.0,4.0,-0.5314261759869373,1.0,1.0,0.0,-0.0726438562292089,1.0,3.0
0,0.0,0.0,1.0,3.0,0.23371620496102505,3.0,0.8887039709138358,3.0,2.0,0.0,1.0,-0.9583744844288052,2.0,3.0,2.0,-0.7920238285776986,1.0,1.0,1.0,-0.6127778387424982,0.0,2.0
0,0.0,0.0,1.0,0.0,-0.6884800601303057,0.0,-0.5667210166891975,1.0,2.0,0.0,1.0,0.9843086359129061,2.0,1.0,2.0,-0.7051579443807782,1.0,0.0,3.0,0.38522070325855734,0.0,2.0
0,0.0,1.0,1.0,3.0,-0.4369719878326701,0.0,0.11327262505976064,0.0,1.0,0.0,1.0,-0.6872550143286503,2.0,2.0,1.0,0.9452938553607098,1.0,1.0,1.0,-0.41142375815499005,0.0,1.0
